,Cycle,Office,Abbreviation,Rating,PluralityParty,RepVotesMajorPercent,DemVotesMajorPercent,ThirdVotesTotalPercent,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdStatus,OtherVotes,PluralityVotes,ElectoralVotes,Dateline,State,RaceNotes,Raw,Incumbent.Party
11,2020,President,GA,Toss Up,D,49.88,50.12,1.24,"2,461,854","Trump, Donald J.",Incumbent,"2,473,633","Biden, Joseph R. Jr.",Challenger,Independent,"62,229",Challenger,"2,244","11,779",16,10-28-2020,Georgia,,,
12,2020,President,HI,Solid D,D,34.97,65.03,0.96,"196,864","Trump, Donald J.",Incumbent,"366,130","Biden, Joseph R. Jr.",Challenger,Independent,"5,539",Challenger,"5,936","169,266",4,10-28-2020,Hawaii,,,
13,2020,President,ID,Solid R,R,65.88,34.12,1.89,"554,119","Trump, Donald J.",Incumbent,"287,021","Biden, Joseph R. Jr.",Challenger,Independent,"16,404",Challenger,"10,390","267,098",4,10-28-2020,Idaho,,,
14,2020,President,IL,Solid D,D,41.34,58.66,1.1,"2,446,891","Trump, Donald J.",Incumbent,"3,471,915","Biden, Joseph R. Jr.",Challenger,Independent,"66,544",Challenger,"48,394","1,025,024",20,10-28-2020,Illinois,,,
15,2020,President,IN,Likely R,R,58.2,41.8,1.95,"1,729,519","Trump, Donald J.",Incumbent,"1,242,416","Biden, Joseph R. Jr.",Challenger,Independent,"59,232",Challenger,"1,954","487,103",11,10-28-2020,Indiana,,,
16,2020,President,IA,Toss Up,R,54.18,45.82,1.16,"897,672","Trump, Donald J.",Incumbent,"759,061","Biden, Joseph R. Jr.",Challenger,Independent,"19,637",Challenger,"14,501","138,611",6,10-28-2020,Iowa,,,
17,2020,President,KS,Likely R,R,57.49,42.51,2.23,"771,406","Trump, Donald J.",Incumbent,"570,323","Biden, Joseph R. Jr.",Challenger,Independent,"30,574",Challenger,"1,683","201,083",6,10-28-2020,Kansas,,,
18,2020,President,KY,Solid R,R,63.2,36.8,1.23,"1,326,646","Trump, Donald J.",Incumbent,"772,474","Biden, Joseph R. Jr.",Challenger,Independent,"26,234",Challenger,"11,414","554,172",8,10-28-2020,Kentucky,,,
19,2020,President,ME,Likely D,D,45.33,54.67,1.73,"360,737","Trump, Donald J.",Incumbent,"435,072","Biden, Joseph R. Jr.",Challenger,Independent,"14,152",Challenger,"9,500","74,335",2,10-28-2020,Maine,,,
20,2020,President,MD,Solid D,D,32.97,67.03,1.1,"976,414","Trump, Donald J.",Incumbent,"1,985,023","Biden, Joseph R. Jr.",Challenger,Independent,"33,488",Challenger,"42,105","1,008,609",11,10-28-2020,Maryland,,,
21,2020,President,LA,Solid R,R,59.46,40.54,1.01,"1,255,776","Trump, Donald J.",Incumbent,"856,034","Biden, Joseph R. Jr.",Challenger,Independent,"21,645",Challenger,"14,607","399,742",8,10-28-2020,Louisiana,,,
22,2020,President,MA,Solid D,D,32.88,67.12,1.29,"1,167,202","Trump, Donald J.",Incumbent,"2,382,202","Biden, Joseph R. Jr.",Challenger,Independent,"47,013",Challenger,"34,985","1,215,000",10,10-28-2020,Massachusetts,,,
23,2020,President,MI,Lean D,D,48.59,51.41,1.09,"2,649,852","Trump, Donald J.",Incumbent,"2,804,040","Biden, Joseph R. Jr.",Challenger,Independent,"60,381",Challenger,"25,029","154,188",16,10-28-2020,Michigan,,,
24,2020,President,MN,Lean D,D,46.36,53.64,1.07,"1,484,065","Trump, Donald J.",Incumbent,"1,717,077","Biden, Joseph R. Jr.",Challenger,Independent,"34,976",Challenger,"41,053","233,012",10,10-28-2020,Minnesota,,,
25,2020,President,MS,Solid R,R,58.38,41.62,0.61,"756,764","Trump, Donald J.",Incumbent,"539,398","Biden, Joseph R. Jr.",Challenger,Independent,"8,026",Challenger,"9,571","217,366",6,10-28-2020,Mississippi,,,
26,2020,President,MO,Likely R,R,57.84,42.16,1.36,"1,718,736","Trump, Donald J.",Incumbent,"1,253,014","Biden, Joseph R. Jr.",Challenger,Independent,"41,205",Challenger,"13,007","465,722",10,10-28-2020,Missouri,,,
27,2020,President,MT,Likely R,R,58.4,41.6,2.53,"343,602","Trump, Donald J.",Incumbent,"244,786","Biden, Joseph R. Jr.",Challenger,Independent,"15,252",Challenger,34,"98,816",3,10-28-2020,Montana,,,
28,2020,President,NE,Solid R,R,59.78,40.22,2.12,"556,846","Trump, Donald J.",Incumbent,"374,583","Biden, Joseph R. Jr.",Challenger,Independent,"20,283",Challenger,"4,671","182,263",2,10-28-2020,Nebraska,,,
29,2020,President,NV,Lean D,D,48.78,51.22,1.05,"669,890","Trump, Donald J.",Incumbent,"703,486","Biden, Joseph R. Jr.",Challenger,Independent,"14,783",Challenger,"17,217","33,596",6,10-28-2020,Nevada,,,
30,2020,President,NH,Lean D,D,46.25,53.75,1.64,"365,660","Trump, Donald J.",Incumbent,"424,937","Biden, Joseph R. Jr.",Challenger,Independent,"13,236",Challenger,"2,372","59,277",4,10-28-2020,New Hampshire,,,
31,2020,President,NJ,Solid D,D,41.93,58.07,0.7,"1,883,274","Trump, Donald J.",Incumbent,"2,608,335","Biden, Joseph R. Jr.",Challenger,Independent,"31,677",Challenger,"26,067","725,061",14,10-28-2020,New Jersey,,,
32,2020,President,NM,Solid D,D,44.48,55.52,1.36,"401,894","Trump, Donald J.",Incumbent,"501,614","Biden, Joseph R. Jr.",Challenger,Independent,"12,585",Challenger,"7,872","99,720",5,10-28-2020,New Mexico,,,
33,2020,President,NY,Solid D,D,38.27,61.73,0.7,"3,251,997","Trump, Donald J.",Incumbent,"5,244,886","Biden, Joseph R. Jr.",Challenger,Independent,"60,383",Challenger,"59,595","1,992,889",29,10-28-2020,New York,,,
34,2020,President,NC,Toss Up,R,50.68,49.32,0.88,"2,758,775","Trump, Donald J.",Incumbent,"2,684,292","Biden, Joseph R. Jr.",Challenger,Independent,"48,678",Challenger,"33,059","74,483",15,10-28-2020,North Carolina,,,
35,2020,President,ND,Solid R,R,67.21,32.79,2.59,"235,751","Trump, Donald J.",Incumbent,"115,042","Biden, Joseph R. Jr.",Challenger,Independent,"9,371",Challenger,"1,860","120,709",3,10-28-2020,North Dakota,,,
36,2020,President,OH,Toss Up,R,54.08,45.92,1.14,"3,154,834","Trump, Donald J.",Incumbent,"2,679,165","Biden, Joseph R. Jr.",Challenger,Independent,"67,569",Challenger,"20,634","475,669",18,10-28-2020,Ohio,,,
37,2020,President,OK,Solid R,R,66.94,33.06,1.58,"1,020,280","Trump, Donald J.",Incumbent,"503,890","Biden, Joseph R. Jr.",Challenger,Independent,"24,731",Challenger,"11,798","516,390",7,10-28-2020,Oklahoma,,,
38,2020,President,OR,Solid D,D,41.69,58.31,1.75,"958,448","Trump, Donald J.",Incumbent,"1,340,383","Biden, Joseph R. Jr.",Challenger,Independent,"41,582",Challenger,"33,908","381,935",7,10-28-2020,Oregon,,,
39,2020,President,PA,Lean D,D,49.41,50.59,1.15,"3,377,674","Trump, Donald J.",Incumbent,"3,458,229","Biden, Joseph R. Jr.",Challenger,Independent,"79,380",Challenger,N/A,"80,555",20,10-28-2020,Pennsylvania,,,
40,2020,President,RI,Solid D,D,39.4,60.6,0.98,"199,922","Trump, Donald J.",Incumbent,"307,486","Biden, Joseph R. Jr.",Challenger,Independent,"5,053",Challenger,"5,296","107,564",4,10-28-2020,Rhode Island,,,
41,2020,President,SC,Likely R,R,55.93,44.07,1.11,"1,385,103","Trump, Donald J.",Incumbent,"1,091,541","Biden, Joseph R. Jr.",Challenger,Independent,"27,916",Challenger,"8,769","293,562",9,10-28-2020,South Carolina,,,
42,2020,President,SD,Solid R,R,63.43,36.57,2.63,"261,043","Trump, Donald J.",Incumbent,"150,471","Biden, Joseph R. Jr.",Challenger,Independent,"11,095",Challenger,N/A,"110,572",3,10-28-2020,South Dakota,,,
43,2020,President,TN,Solid R,R,61.83,38.17,0.98,"1,852,475","Trump, Donald J.",Incumbent,"1,143,711","Biden, Joseph R. Jr.",Challenger,Independent,"29,877",Challenger,"27,788","708,764",11,10-28-2020,Tennessee,,,
44,2020,President,TX,Toss Up,R,52.83,47.17,1.12,"5,890,347","Trump, Donald J.",Incumbent,"5,259,126","Biden, Joseph R. Jr.",Challenger,Independent,"126,243",Challenger,"39,340","631,221",38,10-28-2020,Texas,,,
45,2020,President,UT,Likely R,R,60.69,39.31,2.58,"865,140","Trump, Donald J.",Incumbent,"560,282","Biden, Joseph R. Jr.",Challenger,Independent,"38,447",Challenger,"24,420","304,858",6,10-28-2020,Utah,,,
46,2020,President,VT,Solid D,D,31.7,68.3,0.98,"112,704","Trump, Donald J.",Incumbent,"242,820","Biden, Joseph R. Jr.",Challenger,Independent,"3,608",Challenger,"8,296","130,116",3,10-28-2020,Vermont,,,
47,2020,President,VA,Likely D,D,44.85,55.15,1.45,"1,962,430","Trump, Donald J.",Incumbent,"2,413,568","Biden, Joseph R. Jr.",Challenger,Independent,"64,761",Challenger,"19,765","451,138",13,10-28-2020,Virginia,,,
48,2020,President,WA,Solid D,D,40.07,59.93,1.97,"1,584,651","Trump, Donald J.",Incumbent,"2,369,612","Biden, Joseph R. Jr.",Challenger,Independent,"80,500",Challenger,"52,868","784,961",12,10-28-2020,Washington,,,
49,2020,President,WV,Solid R,R,69.8,30.2,1.34,"545,382","Trump, Donald J.",Incumbent,"235,984","Biden, Joseph R. Jr.",Challenger,Independent,"10,687",Challenger,"2,678","309,398",5,10-28-2020,West Virginia,,,
50,2020,President,WI,Lean D,D,49.68,50.32,1.17,"1,610,184","Trump, Donald J.",Incumbent,"1,630,866","Biden, Joseph R. Jr.",Challenger,Independent,"38,491",Challenger,"18,500","20,682",10,10-28-2020,Wisconsin,,,
51,2020,President,WY,Solid R,R,72.48,27.52,2.08,"193,559","Trump, Donald J.",Incumbent,"73,491","Biden, Joseph R. Jr.",Challenger,Independent,"5,768",Challenger,"3,947","120,068",3,10-28-2020,Wyoming,,,
52,2020,President,ME-01,Solid D,D,38.11,61.89,NA,"164,045","Trump, Donald J.",Incumbent,"266,376","Biden, Joseph R. Jr.",Challenger,,,,,"266,376",1,10-28-2020,ME-01,,,
53,2020,President,ME-02,Toss Up,R,53.83,46.17,NA,"196,692","Trump, Donald J.",Incumbent,"168,696","Biden, Joseph R. Jr.",Challenger,,,,,"196,692",1,10-28-2020,ME-02,,,
54,2020,President,NE-01,Solid R,R,57.68,42.32,NA,"180,290","Trump, Donald J.",Incumbent,"132,261","Biden, Joseph R. Jr.",Challenger,,,,,"180,290",1,10-28-2020,NE-01,,,
55,2020,President,NE-02,Lean D,D,46.66,53.34,NA,"154,377","Trump, Donald J.",Incumbent,"176,468","Biden, Joseph R. Jr.",Challenger,,,,,"176,468",1,10-28-2020,NE-02,,,
56,2020,President,NE-03,Solid R,R,77.14,22.86,NA,"222,179","Trump, Donald J.",Incumbent,"65,854","Biden, Joseph R. Jr.",Challenger,,,,,"222,179",1,10-28-2020,NE-03,,,
57,2016,President,AL,Solid R,R,64.37,35.63,2.09,"1,318,255","Trump, Donald J.",Challenger,"729,547","Clinton, Hillary Rodham",Challenger,Independent,"44,467",Challenger,"31,103","588,708",9,11-07-2016,Alabama,,,
58,2016,President,AK,Likely R,R,58.39,41.61,5.88,"163,387","Trump, Donald J.",Challenger,"116,454","Clinton, Hillary Rodham",Challenger,Independent,"18,725",Challenger,"20,042","46,933",3,11-07-2016,Alaska,,,
59,2016,President,AZ,Lean R,R,51.89,48.11,4.13,"1,252,401","Trump, Donald J.",Challenger,"1,161,167","Clinton, Hillary Rodham",Challenger,Independent,"106,327",Challenger,"53,270","91,234",11,11-07-2016,Arizona,,,
60,2016,President,AR,Solid R,R,64.29,35.71,2.65,"684,872","Trump, Donald J.",Challenger,"380,494","Clinton, Hillary Rodham",Challenger,Independent,"29,949",Challenger,"35,361","304,378",6,11-07-2016,Arkansas,,,
61,2016,President,CA,Solid D,D,33.87,66.13,3.37,"4,483,810","Trump, Donald J.",Challenger,"8,753,788","Clinton, Hillary Rodham",Challenger,Independent,"478,500",Challenger,"465,497","4,269,978",55,11-07-2016,California,,,
62,2016,President,CO,Lean D,D,47.32,52.68,5.18,"1,202,484","Trump, Donald J.",Challenger,"1,338,870","Clinton, Hillary Rodham",Challenger,Independent,"144,121",Challenger,"94,772","136,386",9,11-07-2016,Colorado,,,
63,2016,President,CT,Solid D,D,42.86,57.14,2.96,"673,215","Trump, Donald J.",Challenger,"897,572","Clinton, Hillary Rodham",Challenger,Independent,"48,676",Challenger,"25,457","224,357",7,11-07-2016,Connecticut,,,
64,2016,President,DE,Solid D,D,44,56,3.33,"185,127","Trump, Donald J.",Challenger,"235,603","Clinton, Hillary Rodham",Challenger,Independent,"14,757",Challenger,"8,327","50,476",3,11-07-2016,Delaware,,,
65,2016,President,DC,Solid D,D,4.3,95.7,1.58,"12,723","Trump, Donald J.",Challenger,"282,830","Clinton, Hillary Rodham",Challenger,Independent,"4,906",Challenger,"10,809","270,107",3,11-07-2016,District of Columbia,,,
66,2016,President,FL,Toss Up,R,50.62,49.38,2.2,"4,617,886","Trump, Donald J.",Challenger,"4,504,975","Clinton, Hillary Rodham",Challenger,Independent,"207,043",Challenger,"90,135","112,911",29,11-07-2016,Florida,,,
67,2016,President,GA,Lean R,R,52.66,47.34,3.05,"2,089,104","Trump, Donald J.",Challenger,"1,877,963","Clinton, Hillary Rodham",Challenger,Independent,"125,306",Challenger,"22,359","211,141",16,11-07-2016,Georgia,,,
68,2016,President,HI,Solid D,D,32.56,67.44,3.72,"128,847","Trump, Donald J.",Challenger,"266,891","Clinton, Hillary Rodham",Challenger,Independent,"15,954",Challenger,"17,245","138,044",4,11-07-2016,Hawaii,,,
69,2016,President,ID,Solid R,R,68.31,31.69,4.1,"409,055","Trump, Donald J.",Challenger,"189,765","Clinton, Hillary Rodham",Challenger,Independent,"28,331",Challenger,"63,104","219,290",4,11-07-2016,Idaho,,,
70,2016,President,IL,Solid D,D,40.98,59.02,3.79,"2,146,015","Trump, Donald J.",Challenger,"3,090,729","Clinton, Hillary Rodham",Challenger,Independent,"209,596",Challenger,"90,084","944,714",20,11-07-2016,Illinois,,,
71,2016,President,IN,Likely R,R,60.04,39.96,4.78,"1,556,514","Trump, Donald J.",Challenger,"1,035,956","Clinton, Hillary Rodham",Challenger,Independent,"130,529",Challenger,"5,139","520,558",11,11-07-2016,Indiana,,,
72,2016,President,IA,Lean R,R,55.06,44.94,3.78,"800,983","Trump, Donald J.",Challenger,"653,669","Clinton, Hillary Rodham",Challenger,Independent,"59,186",Challenger,"52,193","147,314",6,11-07-2016,Iowa,,,
73,2016,President,ME,Likely D,D,48.4,51.6,5.09,"335,593","Trump, Donald J.",Challenger,"357,735","Clinton, Hillary Rodham",Challenger,Independent,"38,105",Challenger,"16,494","22,142",2,11-07-2016,Maine,,,
74,2016,President,MA,Solid D,D,35.35,64.65,4.15,"1,090,893","Trump, Donald J.",Challenger,"1,995,196","Clinton, Hillary Rodham",Challenger,Independent,"138,018",Challenger,"100,939","904,303",11,11-07-2016,Massachusetts,,,
75,2016,President,MI,Lean D,R,50.12,49.88,3.59,"2,279,543","Trump, Donald J.",Challenger,"2,268,839","Clinton, Hillary Rodham",Challenger,Independent,"172,136",Challenger,"78,766","10,704",16,11-07-2016,Michigan,,,
76,2016,President,KS,Solid R,R,61.11,38.89,4.68,"671,018","Trump, Donald J.",Challenger,"427,005","Clinton, Hillary Rodham",Challenger,Independent,"55,406",Challenger,"30,973","244,013",6,11-07-2016,Kansas,,,
77,2016,President,KY,Solid R,R,65.67,34.33,2.79,"1,202,971","Trump, Donald J.",Challenger,"628,854","Clinton, Hillary Rodham",Challenger,Independent,"53,752",Challenger,"38,572","574,117",8,11-07-2016,Kentucky,,,
78,2016,President,LA,Solid R,R,60.17,39.83,1.87,"1,178,638","Trump, Donald J.",Challenger,"780,154","Clinton, Hillary Rodham",Challenger,Independent,"37,978",Challenger,"32,262","398,484",8,11-07-2016,Louisiana,,,
79,2016,President,MD,Solid D,D,35.98,64.02,2.86,"943,169","Trump, Donald J.",Challenger,"1,677,928","Clinton, Hillary Rodham",Challenger,Independent,"79,605",Challenger,"80,744","734,759",10,11-07-2016,Maryland,,,
80,2016,President,MN,Likely D,D,49.17,50.83,3.84,"1,322,951","Trump, Donald J.",Challenger,"1,367,716","Clinton, Hillary Rodham",Challenger,Independent,"112,972",Challenger,"141,174","44,765",10,11-07-2016,Minnesota,,,
81,2016,President,MS,Solid R,R,59.09,40.91,1.19,"700,714","Trump, Donald J.",Challenger,"485,131","Clinton, Hillary Rodham",Challenger,Independent,"14,435",Challenger,"9,077","215,583",6,11-07-2016,Mississippi,,,
82,2016,President,MO,Likely R,R,59.82,40.18,3.47,"1,594,511","Trump, Donald J.",Challenger,"1,071,068","Clinton, Hillary Rodham",Challenger,Independent,"97,359",Challenger,"45,667","523,443",10,11-07-2016,Missouri,,,
83,2016,President,MT,Solid R,R,61.11,38.89,5.64,"279,240","Trump, Donald J.",Challenger,"177,709","Clinton, Hillary Rodham",Challenger,Independent,"28,037",Challenger,"12,161","101,531",3,11-07-2016,Montana,,,
84,2016,President,NE,Solid R,R,63.55,36.45,4.61,"495,961","Trump, Donald J.",Challenger,"284,494","Clinton, Hillary Rodham",Challenger,Independent,"38,946",Challenger,"24,826","211,467",2,11-07-2016,Nebraska,,,
85,2016,President,NV,Lean D,D,48.71,51.29,3.32,"512,058","Trump, Donald J.",Challenger,"539,260","Clinton, Hillary Rodham",Challenger,Independent,"37,384",Challenger,"36,683","27,202",6,11-07-2016,Nevada,,,
86,2016,President,NH,Lean D,D,49.8,50.2,4.07,"345,790","Trump, Donald J.",Challenger,"348,526","Clinton, Hillary Rodham",Challenger,Independent,"30,777",Challenger,"31,232","2,736",4,11-07-2016,New Hampshire,,,
87,2016,President,NJ,Solid D,D,42.72,57.28,1.87,"1,601,933","Trump, Donald J.",Challenger,"2,148,278","Clinton, Hillary Rodham",Challenger,Independent,"72,477",Challenger,"51,358","546,345",14,11-07-2016,New Jersey,,,
88,2016,President,NM,Likely D,D,45.35,54.65,9.34,"319,667","Trump, Donald J.",Challenger,"385,234","Clinton, Hillary Rodham",Challenger,Independent,"74,541",Challenger,"18,877","65,567",5,11-07-2016,New Mexico,,,
89,2016,President,NY,Solid D,D,38.23,61.77,2.29,"2,819,533","Trump, Donald J.",Challenger,"4,556,118","Clinton, Hillary Rodham",Challenger,Independent,"176,598",Challenger,"169,193","1,736,585",29,11-07-2016,New York,,,
90,2016,President,NC,Toss Up,R,51.9,48.1,2.74,"2,362,631","Trump, Donald J.",Challenger,"2,189,316","Clinton, Hillary Rodham",Challenger,Independent,"130,126",Challenger,"59,491","173,315",15,11-07-2016,North Carolina,,,
91,2016,President,ND,Solid R,R,69.81,30.19,6.22,"216,794","Trump, Donald J.",Challenger,"93,758","Clinton, Hillary Rodham",Challenger,Independent,"21,434",Challenger,"12,374","123,036",3,11-07-2016,North Dakota,,,
92,2016,President,OH,Lean R,R,54.27,45.73,3.17,"2,841,005","Trump, Donald J.",Challenger,"2,394,164","Clinton, Hillary Rodham",Challenger,Independent,"174,498",Challenger,"86,820","446,841",18,11-07-2016,Ohio,,,
93,2016,President,OK,Solid R,R,69.3,30.7,5.75,"949,136","Trump, Donald J.",Challenger,"420,375","Clinton, Hillary Rodham",Challenger,Independent,"83,481",Challenger,N/A,"528,761",7,11-07-2016,Oklahoma,,,
94,2016,President,OR,Solid D,D,43.84,56.16,4.71,"782,403","Trump, Donald J.",Challenger,"1,002,106","Clinton, Hillary Rodham",Challenger,Independent,"94,231",Challenger,"122,596","219,703",7,11-07-2016,Oregon,,,
95,2016,President,PA,Lean D,R,50.38,49.62,2.38,"2,970,733","Trump, Donald J.",Challenger,"2,926,441","Clinton, Hillary Rodham",Challenger,Independent,"146,715",Challenger,"121,589","44,292",20,11-07-2016,Pennsylvania,,,
96,2016,President,RI,Solid D,D,41.69,58.31,3.18,"180,543","Trump, Donald J.",Challenger,"252,525","Clinton, Hillary Rodham",Challenger,Independent,"14,746",Challenger,"16,330","71,982",4,11-07-2016,Rhode Island,,,
97,2016,President,SC,Likely R,R,57.46,42.54,2.34,"1,155,389","Trump, Donald J.",Challenger,"855,373","Clinton, Hillary Rodham",Challenger,Independent,"49,204",Challenger,"43,061","300,016",9,11-07-2016,South Carolina,,,
98,2016,President,SD,Solid R,R,65.97,34.03,5.63,"227,721","Trump, Donald J.",Challenger,"117,458","Clinton, Hillary Rodham",Challenger,Independent,"20,850",Challenger,"4,064","110,263",3,11-07-2016,South Dakota,,,
99,2016,President,TN,Solid R,R,63.62,36.38,2.81,"1,522,925","Trump, Donald J.",Challenger,"870,695","Clinton, Hillary Rodham",Challenger,Independent,"70,397",Challenger,"44,010","652,230",11,11-07-2016,Tennessee,,,
100,2016,President,TX,Likely R,R,54.71,45.29,3.16,"4,685,047","Trump, Donald J.",Challenger,"3,877,868","Clinton, Hillary Rodham",Challenger,Independent,"283,492",Challenger,"122,819","807,179",38,11-07-2016,Texas,,,
101,2016,President,UT,Lean R,R,62.38,37.62,3.5,"515,231","Trump, Donald J.",Challenger,"310,676","Clinton, Hillary Rodham",Challenger,Independent,"39,608",Challenger,"265,915","204,555",6,11-07-2016,Utah,,,
102,2016,President,VT,Solid D,D,34.81,65.19,3.2,"95,369","Trump, Donald J.",Challenger,"178,573","Clinton, Hillary Rodham",Challenger,Independent,"10,078",Challenger,"31,047","83,204",3,11-07-2016,Vermont,,,
103,2016,President,VA,Likely D,D,47.17,52.83,2.97,"1,769,443","Trump, Donald J.",Challenger,"1,981,473","Clinton, Hillary Rodham",Challenger,Independent,"118,274",Challenger,"115,441","212,030",13,11-07-2016,Virginia,,,
104,2016,President,WA,Solid D,D,41.21,58.79,4.85,"1,221,747","Trump, Donald J.",Challenger,"1,742,718","Clinton, Hillary Rodham",Challenger,Independent,"160,879",Challenger,"191,675","520,971",12,11-07-2016,Washington,,,
105,2016,President,WV,Solid R,R,72.16,27.84,3.22,"489,371","Trump, Donald J.",Challenger,"188,794","Clinton, Hillary Rodham",Challenger,Independent,"23,004",Challenger,"13,254","300,577",5,11-07-2016,West Virginia,,,
106,2016,President,WI,Lean D,R,50.41,49.59,3.58,"1,405,284","Trump, Donald J.",Challenger,"1,382,536","Clinton, Hillary Rodham",Challenger,Independent,"106,674",Challenger,"81,656","22,748",10,11-07-2016,Wisconsin,,,
107,2016,President,WY,Solid R,R,75.71,24.29,5.19,"174,419","Trump, Donald J.",Challenger,"55,973","Clinton, Hillary Rodham",Challenger,Independent,"13,287",Challenger,"12,170","118,446",3,11-07-2016,Wyoming,,,
108,2016,President,ME-01,Solid D,D,42.05,57.95,NA,"154,384","Trump, Donald J.",Challenger,"212,774","Clinton, Hillary Rodham",Challenger,,,,,"212,774",1,11-07-2016,ME-01,,,
109,2016,President,ME-02,Toss Up,R,55.58,44.42,NA,"181,177","Trump, Donald J.",Challenger,"144,817","Clinton, Hillary Rodham",Challenger,,,,,"181,177",1,11-07-2016,ME-02,,,
110,2016,President,NE-01,Solid R,R,61.31,38.69,NA,"158,642","Trump, Donald J.",Challenger,"100,132","Clinton, Hillary Rodham",Challenger,,,,,"158,642",1,11-07-2016,NE-01,,,
111,2016,President,NE-02,Toss Up,R,51.22,48.78,NA,"137,564","Trump, Donald J.",Challenger,"131,030","Clinton, Hillary Rodham",Challenger,,,,,"137,564",1,11-07-2016,NE-02,,,
112,2016,President,NE-03,Solid R,R,78.93,21.07,NA,"199,755","Trump, Donald J.",Challenger,"53,332","Clinton, Hillary Rodham",Challenger,,,,,"199,755",1,11-07-2016,NE-03,,,
113,2012,President,AL,Solid R,R,61.22,38.78,0.59,"1,255,925","Romney, W. Mitt",Challenger,"795,696","Obama, Barack H.",Incumbent,Libertarian,"12,328",Challenger,"10,389","460,229",9,10-30-2012,Alabama,,,
114,2012,President,AK,Solid R,R,57.32,42.68,2.46,"164,676","Romney, W. Mitt",Challenger,"122,640","Obama, Barack H.",Incumbent,Libertarian,"7,392",Challenger,"5,787","42,036",3,10-30-2012,Alaska,,,
115,2012,President,AZ,Likely R,R,54.61,45.39,1.4,"1,233,654","Romney, W. Mitt",Challenger,"1,025,232","Obama, Barack H.",Incumbent,Libertarian,"32,100",Challenger,"8,268","208,422",11,10-30-2012,Arizona,,,
116,2012,President,AR,Solid R,R,62.15,37.85,1.52,"647,744","Romney, W. Mitt",Challenger,"394,409","Obama, Barack H.",Incumbent,Libertarian,"16,276",Challenger,"11,039","253,335",6,10-30-2012,Arkansas,,,
117,2012,President,CA,Solid D,D,38.13,61.87,1.1,"4,839,958","Romney, W. Mitt",Challenger,"7,854,285","Obama, Barack H.",Incumbent,Libertarian,"143,221",Challenger,"201,083","3,014,327",55,10-30-2012,California,,,
118,2012,President,CO,Toss Up,D,47.25,52.75,1.38,"1,185,243","Romney, W. Mitt",Challenger,"1,323,102","Obama, Barack H.",Incumbent,Libertarian,"35,545",Challenger,"25,632","137,859",9,10-30-2012,Colorado,,,
